game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit,away_team,home_team,home_score,away_score,profit_recomputed,outcome_recomputed
ATL@TB,away_ml,0.4759325403991856,3.25,0.5467807562973532,0.2430136694654903,6.08,6.08,13.68,ATL,TB,28,29,13.68,win
ATL@TB,home_spread,0.7387843880201744,1.925925925925926,0.4228440065573731,0.4566715270819629,6.85,6.85,-6.85,ATL,TB,28,29,,no_line
ATL@TB,over,0.6442148283214323,1.9090909090909087,0.2298646722500071,0.2528511394750078,1.26,1.26,0.0,ATL,TB,28,29,,no_line
CLE@CHI,home_spread,0.8781300175209319,1.925925925925926,0.6912133670773504,0.7465104364435383,11.2,11.2,10.37,CLE,CHI,31,3,,no_line
CLE@CHI,over,0.8164337896518331,1.9523809523809523,0.5939897797964361,0.623689268786258,3.12,3.12,0.0,CLE,CHI,31,3,,no_line
BAL@CIN,away_ml,0.6600726844255987,1.617283950617284,0.0675249587623881,0.1093904331950687,2.73,2.73,1.69,BAL,CIN,0,24,1.6851851851851853,win
BAL@CIN,home_spread,0.5409091468890119,2.05,0.1088637511224743,0.1036797629737851,1.56,1.56,-1.56,BAL,CIN,0,24,,no_line
BAL@CIN,under,0.7567028041911803,1.9090909090909087,0.4446144443649806,0.4890758888014787,2.45,2.45,0.0,BAL,CIN,0,24,,no_line
ARI@HOU,away_ml,0.3150696901940525,5.55,0.7486367805769915,0.1645355561707673,4.11,4.11,-4.11,ARI,HOU,40,20,-4.11,loss
ARI@HOU,home_spread,0.7539999814996263,1.9090909090909087,0.4394545101356503,0.4833999611492153,7.25,7.25,6.59,ARI,HOU,40,20,,no_line
ARI@HOU,over,0.752282332291353,1.925925925925926,0.4488400473759392,0.4847472511660142,2.42,2.42,0.0,ARI,HOU,40,20,,no_line
NYJ@JAX,away_ml,0.3028928803520024,7.75,1.347419822728019,0.199617751515262,4.99,4.99,-4.99,NYJ,JAX,48,20,-4.99,loss
NYJ@JAX,home_spread,0.8502912798954638,1.869565217391304,0.5896750015436931,0.6781262517752472,10.17,10.17,8.84,NYJ,JAX,48,20,,no_line
NYJ@JAX,over,0.7070964761714992,1.9523809523809523,0.3805216915729269,0.3995477761515733,2.0,2.0,0.0,NYJ,JAX,48,20,,no_line
LAC@KC,away_ml,0.3699108038773349,3.1,0.1467234920197381,0.0698683295332086,1.75,1.75,3.68,LAC,KC,13,16,3.6750000000000003,win
LAC@KC,home_spread,0.7910868095867853,1.8333333333333333,0.4503258175757733,0.5403909810909279,8.11,8.11,-8.11,LAC,KC,13,16,,no_line
LAC@KC,over,0.833337379362362,1.8928571428571428,0.5773886109358993,0.6466752442482073,3.23,3.23,0.0,LAC,KC,13,16,,no_line
BUF@NE,home_ml,0.6419718523740069,2.2,0.4123380752228153,0.3436150626856794,8.59,8.59,-8.59,BUF,NE,31,35,-8.59,loss
BUF@NE,away_spread,0.5363510237868527,1.9090909090909087,0.0239428635930825,0.0263371499523907,0.4,0.4,0.36,BUF,NE,31,35,,no_line
BUF@NE,over,0.6588962191777865,1.869565217391304,0.2318494532454268,0.2666268712322409,1.33,1.33,0.0,BUF,NE,31,35,,no_line
WAS@NYG,away_ml,0.5451160274615279,2.24,0.2210599015138226,0.1782741141240504,4.46,4.46,5.53,WAS,NYG,21,29,5.530400000000001,win
WAS@NYG,home_spread,0.630215191912576,1.869565217391304,0.1782284022713377,0.2049626626120384,3.07,3.07,-3.07,WAS,NYG,21,29,,no_line
WAS@NYG,under,0.6054863013874933,1.869565217391304,0.1319961286809655,0.1517955479831104,0.76,0.76,0.0,WAS,NYG,21,29,,no_line
LV@PHI,away_ml,0.2726074530128113,7.5,1.0445558975960847,0.1607009073224745,4.02,4.02,-4.02,LV,PHI,31,0,-4.02,loss
LV@PHI,home_spread,0.8955604375534164,1.8928571428571428,0.6951679710832525,0.7785881276132428,11.68,11.68,10.43,LV,PHI,31,0,,no_line
LV@PHI,over,0.7817071795556373,1.9803921568627447,0.5480867673552817,0.5590485027023874,2.8,2.8,0.0,LV,PHI,31,0,,no_line
GB@DEN,home_ml,0.6283181130352583,2.02,0.2692025883312218,0.2639241062070802,6.6,6.6,6.73,GB,DEN,34,26,6.731999999999999,win
GB@DEN,away_spread,0.5688385396656165,1.925925925925926,0.095540891207854,0.1031841625044823,1.55,1.55,-1.55,GB,DEN,34,26,,no_line
GB@DEN,over,0.8610461435742549,1.9523809523809523,0.68109008983545,0.7151445943272225,3.58,3.58,0.0,GB,DEN,34,26,,no_line
DET@LA,home_spread,0.6873226171392346,1.869565217391304,0.2849944581298732,0.3277436268493542,4.92,4.92,4.28,DET,LA,41,34,,no_line
CAR@NO,away_ml,0.6383616911335175,1.6756756756756757,0.0696871581156238,0.1031369940111233,2.58,2.58,-2.58,CAR,NO,20,17,-2.58,loss
CAR@NO,away_spread,0.6071480923491908,1.847457627118644,0.1216803740010473,0.1435828413212359,2.15,2.15,-2.15,CAR,NO,20,17,,no_line
CAR@NO,over,0.6112865708906974,1.8928571428571428,0.1570781520431057,0.1759275302882784,0.88,0.88,0.0,CAR,NO,20,17,,no_line
IND@SEA,away_ml,0.342033825224047,7.5,1.5652536891803526,0.2408082598739004,6.02,6.02,-6.02,IND,SEA,18,16,-6.02,loss
IND@SEA,home_spread,0.8292398620193698,1.869565217391304,0.5503180029057783,0.632865703341645,9.49,9.49,-9.49,IND,SEA,18,16,,no_line
IND@SEA,over,0.8867738375705811,1.8928571428571428,0.6785361925443143,0.7599605356496321,3.8,3.8,0.0,IND,SEA,18,16,,no_line
TEN@SF,away_ml,0.2867558129953207,7.0,1.007290690967245,0.1678817818278741,4.2,4.2,-4.2,TEN,SF,37,24,-4.2,loss
TEN@SF,home_spread,0.906014003228613,1.8928571428571428,0.7149550775398746,0.8007496868446596,12.01,12.01,10.72,TEN,SF,37,24,,no_line
TEN@SF,under,0.5325030420294742,1.8928571428571428,0.0079521866986475,0.0089064491024852,0.04,0.04,0.0,TEN,SF,37,24,,no_line
MIN@DAL,away_ml,0.4329903867340565,3.15,0.3639197182122781,0.169264985215013,4.23,4.23,9.09,MIN,DAL,26,34,9.0945,win
MIN@DAL,home_spread,0.8783754701386964,1.9090909090909087,0.6768986248102388,0.7445884872912626,11.17,11.17,-11.17,MIN,DAL,26,34,,no_line
MIN@DAL,under,0.552243372273143,1.9803921568627447,0.0936584431291656,0.0955316119917489,0.48,0.48,0.0,MIN,DAL,26,34,,no_line
MIA@PIT,away_ml,0.4405458391144377,2.42,0.0661209306569391,0.0465640356739008,1.16,1.16,-1.16,MIA,PIT,28,15,-1.16,loss
MIA@PIT,home_spread,0.643542939297105,1.847457627118644,0.1889183115827872,0.2229236076676889,3.34,3.34,-3.34,MIA,PIT,28,15,,no_line
MIA@PIT,over,0.6774268989486524,1.925925925925926,0.3046740276048121,0.329047949813197,1.65,1.65,-1.65,MIA,PIT,28,15,,no_line
