game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit,away_team,home_team
HOU@LAC,home_ml,0.5640775320157243,1.819672131147541,0.0264361648154983,0.008063030268726987,0.81,0.81,0.0,HOU,LAC
HOU@LAC,over,0.8879136513338793,1.8928571428571428,0.6806936971677001,0.03811884704139121,3.81,3.81,0.0,HOU,LAC
BAL@GB,home_ml,0.7652992014293324,1.6024096385542168,0.2263228167482072,0.09392396895050602,9.39,9.39,0.0,BAL,GB
BAL@GB,home_spread,0.6918956549079673,1.847457627118644,0.2782479048299735,0.049249879154905314,4.92,4.92,0.0,BAL,GB
BAL@GB,over,0.8804314846105203,1.869565217391304,0.6460240799240162,0.03714638459563094,3.71,3.71,0.0,BAL,GB
SEA@CAR,away_ml,0.8381294058418827,1.263157894736842,0.0586897758002727,0.05575528701025917,5.58,5.58,0.0,SEA,CAR
SEA@CAR,away_spread,0.680207985312675,1.847457627118644,0.256655430492908,0.045428011197244725,4.54,4.54,0.0,SEA,CAR
SEA@CAR,over,0.736308653390122,1.9090909090909087,0.4056801564720511,0.022312408605962803,2.23,2.23,0.0,SEA,CAR
ARI@CIN,away_ml,0.6335430909586597,3.75,1.3757865910949738,0.12507150828136127,12.51,12.51,0.0,ARI,CIN
ARI@CIN,away_spread,0.8050422458139224,1.9090909090909087,0.5368988329174882,0.08858830743138553,8.86,8.86,0.0,ARI,CIN
ARI@CIN,under,0.8276125592898467,1.925925925925926,0.5939204845582233,0.032071706166144055,3.21,3.21,0.0,ARI,CIN
PIT@CLE,away_ml,0.6530718548477907,1.5555555555555556,0.0158895519854522,0.007150298393453524,0.72,0.72,0.0,PIT,CLE
PIT@CLE,away_spread,0.5680473327945155,1.847457627118644,0.04944337753563,0.008751477823806558,0.88,0.88,0.0,PIT,CLE
PIT@CLE,over,0.8711420717574943,1.9523809523809523,0.7008011877170125,0.03679206235514316,3.68,3.68,0.0,PIT,CLE
JAX@IND,home_ml,0.5327880598099767,3.1,0.6516429854109277,0.0775765458822533,7.76,7.76,0.0,JAX,IND
JAX@IND,home_spread,0.6878225221078401,1.9523809523809523,0.3428915907819735,0.05400542554816083,5.4,5.4,0.0,JAX,IND
JAX@IND,over,0.6421388960438484,1.9090909090909087,0.2259015288109834,0.012424584084604078,1.24,1.24,0.0,JAX,IND
TB@MIA,home_ml,0.4858765096404216,3.35,0.6276863072954126,0.06677513907398004,6.68,6.68,0.0,TB,MIA
TB@MIA,home_spread,0.6450527074765177,2.0,0.2901054149530353,0.043515812242955296,4.35,4.35,0.0,TB,MIA
TB@MIA,over,0.5806661482421835,1.925925925925926,0.1183199892071683,0.006389279417187092,0.64,0.64,0.0,TB,MIA
NE@NYJ,away_spread,0.6318484126010397,1.8928571428571428,0.1959987809948251,0.03292779520713063,3.29,3.29,0.0,NE,NYJ
NE@NYJ,over,0.6612301855892193,1.847457627118644,0.2215947496478797,0.013074090229224906,1.31,1.31,0.0,NE,NYJ
NO@TEN,away_ml,0.721673918224904,1.7407407407407407,0.2562471909840921,0.08648342695713108,8.65,8.65,0.0,NO,TEN
NO@TEN,away_spread,0.6563920761407949,1.925925925925926,0.2641625170119011,0.04279432775592801,4.28,4.28,0.0,NO,TEN
NO@TEN,over,0.6256520847476787,1.9090909090909087,0.1944267072455685,0.010693468898506262,1.07,1.07,0.0,NO,TEN
PHI@BUF,home_ml,0.5858878205645917,1.8333333333333333,0.0741276710350847,0.022238301310525403,2.22,2.22,0.0,PHI,BUF
PHI@BUF,home_spread,0.5421565931737348,1.9523809523809523,0.0584962057201488,0.009213152400923436,0.92,0.92,0.0,PHI,BUF
PHI@BUF,over,0.8002390976674976,1.9523809523809523,0.5623715716365428,0.029524507510918504,2.95,2.95,0.0,PHI,BUF
CHI@SF,away_ml,0.5086690738702679,2.4,0.220805777288643,0.03942960308725769,3.94,3.94,0.0,CHI,SF
CHI@SF,away_spread,0.5963668071659646,1.925925925925926,0.1485582952825985,0.024066443835780965,2.41,2.41,0.0,CHI,SF
CHI@SF,under,0.5642410735780864,1.9090909090909087,0.0771875041036195,0.0042453127256990636,0.42,0.42,0.0,CHI,SF
LA@ATL,away_ml,0.8422134651690608,1.2127659574468086,0.0214078194603502,0.025154187865911733,2.52,2.52,0.0,LA,ATL
LA@ATL,away_spread,0.6729382307416627,1.847457627118644,0.2432248669634107,0.0430508014525237,4.31,4.31,0.0,LA,ATL
LA@ATL,over,0.589256601956629,1.8333333333333333,0.0803037702538199,0.004818226215229189,0.48,0.48,0.0,LA,ATL
